riddle_id,entity_id,role
342,0,mentioned
342,133,mentioned
342,295,mentioned
343,0,mentioned
343,133,mentioned
343,296,mentioned
344,89,mentioned
344,133,mentioned
344,297,mentioned
345,5,mentioned
345,9,mentioned
345,133,mentioned
345,298,mentioned
345,412,mentioned
346,133,mentioned
346,135,mentioned
346,299,mentioned
346,412,mentioned
347,71,mentioned
347,133,mentioned
347,135,mentioned
347,300,mentioned
348,97,mentioned
348,133,mentioned
348,301,mentioned
348,668,mentioned
349,9,mentioned
349,58,mentioned
349,133,mentioned
349,135,mentioned
349,302,mentioned
350,58,mentioned
350,133,mentioned
350,303,mentioned
351,91,mentioned
351,133,mentioned
351,135,mentioned
351,587,mentioned
352,71,mentioned
352,97,mentioned
352,133,mentioned
352,668,mentioned
353,0,mentioned
353,9,mentioned
353,91,mentioned
353,133,mentioned
353,672,mentioned
354,71,mentioned
354,133,mentioned
354,304,mentioned
354,412,mentioned
354,725,mentioned
355,71,mentioned
355,133,mentioned
355,305,mentioned
355,412,mentioned
356,1,mentioned
356,133,mentioned
356,306,mentioned
356,412,mentioned
357,133,mentioned
357,307,mentioned
358,1,mentioned
358,7,mentioned
358,133,mentioned
358,308,mentioned
358,412,mentioned
359,7,mentioned
359,133,mentioned
359,309,mentioned
359,412,mentioned
360,1,mentioned
360,6,mentioned
360,133,mentioned
360,310,mentioned
360,412,mentioned
361,1,mentioned
361,6,mentioned
361,133,mentioned
361,311,mentioned
361,412,mentioned
361,587,mentioned
362,1,mentioned
362,133,mentioned
362,312,mentioned
363,0,mentioned
363,412,mentioned
363,587,mentioned
365,135,mentioned
366,133,mentioned
366,313,mentioned
366,557,mentioned
366,658,mentioned
367,0,mentioned
367,133,mentioned
367,314,mentioned
368,0,mentioned
368,133,mentioned
368,412,mentioned
368,587,mentioned
369,4,mentioned
369,412,mentioned
369,587,mentioned
370,0,mentioned
370,133,mentioned
370,412,mentioned
370,553,mentioned
370,587,mentioned
371,0,mentioned
371,9,mentioned
371,133,mentioned
371,412,mentioned
371,550,mentioned
371,553,mentioned
371,587,mentioned
372,0,mentioned
372,9,mentioned
372,133,mentioned
372,412,mentioned
372,587,mentioned
373,0,mentioned
373,9,mentioned
373,71,mentioned
373,133,mentioned
373,412,mentioned
373,587,mentioned
374,0,mentioned
374,133,mentioned
377,21,mentioned
378,655,mentioned
379,655,mentioned
380,654,mentioned
381,19,mentioned
381,133,mentioned
381,315,mentioned
382,0,mentioned
382,133,mentioned
382,316,mentioned
383,0,mentioned
383,133,mentioned
383,317,mentioned
384,0,mentioned
384,133,mentioned
384,412,mentioned
384,575,mentioned
385,88,mentioned
385,131,mentioned
385,575,mentioned
386,0,mentioned
387,0,mentioned
387,133,mentioned
387,318,mentioned
387,594,mentioned
387,654,mentioned
388,0,mentioned
388,12,mentioned
388,133,mentioned
388,319,mentioned
389,0,mentioned
389,12,mentioned
389,101,mentioned
389,133,mentioned
389,320,mentioned
390,12,mentioned
390,131,mentioned
390,412,mentioned
390,550,mentioned
390,587,mentioned
391,3,mentioned
391,412,mentioned
391,587,mentioned
392,133,mentioned
392,135,mentioned
392,321,mentioned
392,599,mentioned
393,5,mentioned
393,34,mentioned
393,133,mentioned
394,5,mentioned
394,133,mentioned
395,5,mentioned
395,133,mentioned
395,135,mentioned
396,102,mentioned
396,133,mentioned
397,102,mentioned
397,133,mentioned
398,39,mentioned
398,131,mentioned
398,133,mentioned
399,39,mentioned
399,133,mentioned
400,103,mentioned
400,133,mentioned
401,103,mentioned
401,133,mentioned
402,66,mentioned
402,131,mentioned
402,133,mentioned
402,553,mentioned
403,66,mentioned
403,131,mentioned
403,133,mentioned
404,104,mentioned
404,131,mentioned
404,133,mentioned
405,104,mentioned
405,133,mentioned
406,72,mentioned
406,131,mentioned
406,133,mentioned
407,72,mentioned
407,133,mentioned
408,73,mentioned
408,131,mentioned
408,133,mentioned
409,8,mentioned
409,73,mentioned
409,133,mentioned
410,61,mentioned
410,74,mentioned
410,131,mentioned
410,133,mentioned
411,61,mentioned
411,74,mentioned
411,133,mentioned
412,105,mentioned
412,131,mentioned
412,133,mentioned
412,552,mentioned
413,51,mentioned
413,131,mentioned
413,133,mentioned
414,51,mentioned
414,133,mentioned
415,51,mentioned
415,133,mentioned
416,44,mentioned
416,133,mentioned
417,44,mentioned
417,133,mentioned
418,14,mentioned
418,133,mentioned
418,429,mentioned
419,14,mentioned
419,131,mentioned
419,133,mentioned
420,27,mentioned
420,41,mentioned
420,133,mentioned
420,135,mentioned
421,41,mentioned
421,133,mentioned
422,75,mentioned
422,133,mentioned
423,75,mentioned
423,133,mentioned
424,45,mentioned
424,133,mentioned
424,412,mentioned
425,45,mentioned
425,133,mentioned
425,412,mentioned
426,46,mentioned
426,133,mentioned
427,4,mentioned
427,46,mentioned
427,133,mentioned
428,10,mentioned
428,42,mentioned
428,133,mentioned
428,657,mentioned
429,10,mentioned
429,42,mentioned
429,133,mentioned
430,17,mentioned
430,62,mentioned
430,133,mentioned
431,17,mentioned
431,62,mentioned
431,133,mentioned
432,15,mentioned
432,133,mentioned
433,15,mentioned
433,91,mentioned
433,133,mentioned
433,510,mentioned
433,668,mentioned
434,10,mentioned
434,31,mentioned
434,133,mentioned
434,668,mentioned
435,31,mentioned
435,133,mentioned
436,11,mentioned
436,133,mentioned
437,11,mentioned
437,57,mentioned
437,133,mentioned
438,11,mentioned
438,133,mentioned
